ID,helper_goal_noise,helper_action_noise
91484,1.231225736,5.149864466
98763,49.73361082,2.83954188
33708,1.399658463,4.735709968
51325,0.255636468,4.209946495
42292,2.73271069,2.077734704
43580,39.98740422,6.763914575
14189,3.111380712,3.602000697
19737,3.250323856,3.619531518
56864,34.85725541,2.226178697
66473,0.575503809,2.966600953
67590,0.320047873,2.980258761
97388,2.318870243,5.458027529
26365,0.969174767,7.366044972
62686,0.677767616,5.475907554
31601,1.596704884,2.251161699
67505,0.168697412,2.781714468
39232,32.03596992,1.557608712
36524,-0.034355076,7.765584673
78276,34.37613691,2.365545069
99977,35.43187499,4.176755613
50905,1.641932979,4.097150728
75842,2.419913749,4.624044345
49589,35.16428095,4.325282595
53463,37.3287356,3.946233045
27371,35.41705469,2.854718177
20272,2.554078574,5.999519462
19487,0.527237844,3.540635247
20340,2.412039627,4.914762748
68825,3.767295855,7.234171539
13662,3.067692283,3.467961009
29690,2.126972566,7.295781978
92567,1.479780543,4.225687004
96815,35.4632659,3.379738898
85609,3.725268515,4.541748766
26316,4.960490396,2.655353706
40168,1.212639769,5.532898582
51310,0.438885383,2.799930621
50933,37.28306486,1.931278598
37196,0.438403883,4.248308287
79463,2.279250543,5.978371913
27392,0.374807845,5.975325632
80393,0.449134603,1.897913223
94317,35.08933295,3.01982382
70176,4.190834695,4.660177108
53968,1.74724648,5.905905705
73406,34.73779706,3.995459818
16229,36.22120992,3.748846005
58601,40.89943517,9.238081334
28567,0.20913224,5.1826552
47326,0.549579805,10.73723172
37887,1.842000519,2.819636786
64140,3.88834291,2.809711698
79869,31.91333029,4.984142125
58692,156.9549396,4.311670071
91733,1.96806984,5.052165123
39277,0.51721404,4.962717001
36088,2.154991052,7.672477634
74045,1.573225008,5.432040338
26027,1.755967164,5.066919754
35291,2.701186751,3.740806298
49030,3.392795092,5.291454334
55983,35.99251414,4.102497637
71814,0.349926983,3.537001304
22765,33.8627751,2.951315658
93884,2.026341939,5.3904135
89675,36.10224522,3.834646189
86933,1.792977504,4.223941904
53007,3.255640092,7.677244107
58637,3.05670355,3.266946522
18558,36.94361883,7.735722534
88653,37.81920737,5.279290206
82980,3.423827049,5.202108696
84838,1.30179844,6.384116696
50151,1.469376809,6.465121404
32385,0.677023276,9.299895598
63576,4.381473444,2.555740358
93940,30.79122815,4.029379338
93952,108.6372052,9.929146385
87384,3.420560964,2.617555726
30838,0.725757855,3.857090174
43467,2.811947311,4.543081494
97122,4.047838406,6.238077419
13861,3.032421833,2.284644999
36961,32.22628113,1.366525309
29499,2.8938386,9.197632858
74257,0.592508654,5.125078002
97778,37.87858159,4.214025911
24954,35.21872453,4.284611309
85713,1.125563434,5.08795208