"ID","std_goal_noise","std_action_noise","helper_goal_noise","helper_pass_noise","helper_action_noise"
91484,1.231225736,5.149864466,1.276783438,20.17144438,9.563433428
98763,49.73361082,2.83954188,1.585887672,61.93099364,11.82196365
33708,1.399658463,4.735709968,2.350268788,3541.479494,3.560467303
51325,0.255636468,4.209946495,1.390549586,9.373785083,12.4246936
42292,2.73271069,2.077734704,3.349904087,29.87329348,3.840816233
43580,39.98740422,6.763914575,2.033515455,84831.16261,8.661218573
14189,3.111380712,3.602000697,3.10856135,369.310498,3.59689191
19737,3.250323856,3.619531518,1.654789838,15.58929485,7.240866409
56864,34.85725541,2.226178697,0.21821995,0.010281822,0.006334596
66473,0.575503809,2.966600953,0.134416807,578.9476699,-11.37590003
67590,0.320047873,2.980258761,-1.08e-10,0.161639149,1.084182407
97388,2.318870243,5.458027529,2.200425231,8.05244583,8.114876358
26365,0.969174767,7.366044972,0.418024632,532.8675969,8.937967502
62686,0.677767616,5.475907554,1.28e-06,0.282325674,0.943418862
31601,1.596704884,2.251161699,0.000731662,123151.5009,-5.741472716
67505,0.168697412,2.781714468,0.902867712,56.91538717,-0.066824269
39232,32.03596992,1.557608712,0.356624974,1133.624238,0.137570194
36524,-0.034355076,7.765584673,0.184089399,328211.9245,7.648291316
78276,34.37613691,2.365545069,34.24518136,40.96273438,3.167394026
99977,35.43187499,4.176755613,2.253472966,15419.26213,5.210443162
50905,1.641932979,4.097150728,1.639943484,989.452538,4.093710855
75842,2.419913749,4.624044345,2.650917252,90.4977704,5.348104979
49589,35.16428095,4.325282595,4.138166734,28.02544871,6.693419945
53463,37.3287356,3.946233045,32.20774727,3.239064614,10.15806388
27371,35.41705469,2.854718177,1.096412047,187.2796945,5.190438056
20272,2.554078574,5.999519462,0.782250153,0.062193998,0.053316643
19487,0.527237844,3.540635247,1.290984181,70.10613491,3.80165342
20340,2.412039627,4.914762748,1.018988309,22.80268914,13.40946102
68825,3.767295855,7.234171539,0.382716456,0.2220915,0.90348981
13662,3.067692283,3.467961009,63.56966658,98.94288619,2.431231984
29690,2.126972566,7.295781978,90.1567123,148.5736847,4.737554102
92567,1.479780543,4.225687004,1.608194769,10.40924827,8.972052114
96815,35.4632659,3.379738898,6.576007763,6388.353323,3.36722983
85609,3.725268515,4.541748766,0.05544027,0.139385978,0.056251307
26316,4.960490396,2.655353706,0.195671399,0.180161924,0.220233192
40168,1.212639769,5.532898582,1.158002294,1115.235673,6.736766787
51310,0.438885383,2.799930621,-1.29e-06,0.692177186,0.850982865
50933,37.28306486,1.931278598,120.7164663,418.2331748,1.927276247
37196,0.438403883,4.248308287,0.42338242,202.7278357,8.064194093
79463,2.279250543,5.978371913,1.831264778,13324.95124,6.736088948
27392,0.374807845,5.975325632,0.525464874,0.606188999,0.832080746
80393,0.449134603,1.897913223,0.005918387,35848.92321,-5.397804239
94317,35.08933295,3.01982382,0.006347379,214308.9349,-7.431313443
70176,4.190834695,4.660177108,4.188133157,515.3769554,4.652981743
53968,1.74724648,5.905905705,616.4465286,471.6240287,3.474051519
73406,34.73779706,3.995459818,4.041364049,17.94365258,5.185796007
16229,36.22120992,3.748846005,6.525059711,10310.67317,3.773233394
58601,40.89943517,9.238081334,8.954702297,131789.2495,9.190913303
28567,0.20913224,5.1826552,3.84e-06,0.564443181,1.059736883
47326,0.549579805,10.73723172,0.677881802,25296.81559,10.24930636
37887,1.842000519,2.819636786,27.44523203,138.1444875,0.964442051
64140,3.88834291,2.809711698,4.03015868,51.57003613,3.18916423
79869,31.91333029,4.984142125,0.614102915,0.693254617,0.34267043
58692,156.9549396,4.311670071,39.0487425,134.5006921,4.304264883
91733,1.96806984,5.052165123,43.19155625,13.17755338,4.148802967
39277,0.51721404,4.962717001,1.252762969,11.04777757,272.4383454
36088,2.154991052,7.672477634,2.151753188,694.7625737,7.670004023
74045,1.573225008,5.432040338,0.836173334,55.79537171,7.296082347
26027,1.755967164,5.066919754,2.462022863,3542.503828,4.997968723
35291,2.701186751,3.740806298,1.658343144,14.13530405,4.739929714
49030,3.392795092,5.291454334,0.073932565,0.072070269,0.969804716
55983,35.99251414,4.102497637,0.363335497,581.5469949,7.13644095
71814,0.349926983,3.537001304,3.37e-05,0.439891302,0.300293405
22765,33.8627751,2.951315658,7.929288447,3.741603863,8.946056038
93884,2.026341939,5.3904135,0.430051549,0.755437643,0.834635883
89675,36.10224522,3.834646189,6.151918165,9014.951554,3.864777643
86933,1.792977504,4.223941904,1.791541622,191.7607243,4.21769722
53007,3.255640092,7.677244107,3.252616685,3259.837384,7.672420753
58637,3.05670355,3.266946522,0.688774268,53.31881452,2.255228727
18558,36.94361883,7.735722534,6.551552278,12155.82577,7.810041729
88653,37.81920737,5.279290206,2.427631798,6606.105124,5.984713604
82980,3.423827049,5.202108696,361.5266768,136.0361051,3.542857086
84838,1.30179844,6.384116696,4.264682504,4.278450725,8.09663627
50151,1.469376809,6.465121404,1.467126439,1237.479739,6.460567433
32385,0.677023276,9.299895598,1.886866671,6723.88163,5.931382734
63576,4.381473444,2.555740358,1.798820375,8110.378682,3.037241354
93940,30.79122815,4.029379338,705.5115816,128.4999996,4.863943254
93952,108.6372052,9.929146385,6.760172302,33716.20421,9.991801536
87384,3.420560964,2.617555726,3.18135038,2040.324349,2.696781747
30838,0.725757855,3.857090174,1.791759478,4.406407553,1.747312423
43467,2.811947311,4.543081494,271.9529539,161.9957452,3.442150872
97122,4.047838406,6.238077419,2.008458537,8471.623549,9.496800777
13861,3.032421833,2.284644999,1.252762968,34.59594123,3.944963171
36961,32.22628113,1.366525309,0.158485792,730.261692,-4.42695251
29499,2.8938386,9.197632858,94.99664418,635.9389654,7.547701704
74257,0.592508654,5.125078002,0.510825624,205.4450012,5.380760501
97778,37.87858159,4.214025911,5.20894816,19.71857864,9.761153266
24954,35.21872453,4.284611309,6.358566446,9374.066778,4.326314627
85713,1.125563434,5.08795208,1.700390537,69.27272171,4.677695187
