ID,literal_architect_beta
91484,5.82668988
33708,2.871998935
42292,4.380071339
56864,6.139438989
66473,4.259484285
97388,50.66658255
31601,3.660318003
67505,4.916384147
85066,0.507114865
39232,4.796084001
96254,0.147971279
78276,5.555247255
99977,4.153290446
50905,5.847640101
27371,4.898792529
20272,5.164225171
19487,4.784672449
68825,6.362377994
13662,3.495375749
92567,5.874372058
96815,88.34096907
51310,3.244581617
50933,1.368892235
37196,5.132123176
79463,39.76407873
27392,5.917036115
68144,0.995723724
70810,0.095551641
94317,4.403948412
74322,0.64773139
73406,4.779439762
28567,41.16005311
19121,0.237054632
47326,3.39687536
64140,6.267197781
58692,52.1301134
39277,4.359872823
36088,6.103522082
93221,0.382441301
49030,4.219819767
55983,5.301411763
93884,4.863971723
86933,5.203141901
53007,4.363359576
58637,3.316506723
88653,4.128092068
82980,6.285538419
84838,4.901093434
50151,4.45138661
32385,5.380995086
17300,0.453415815
93952,38.70893242
87384,5.616584105
98763,3.232285018
51325,6.117056175
43580,6.027481898
14189,6.24390287
19737,4.98878066
67590,53.20625268
26365,47.26328475
62686,42.36128486
36524,5.122787121
75842,38.44615632
49589,4.774037371
53463,6.215071211
20340,45.18107411
29690,5.178122744
85609,69.12456113
26316,5.95787082
40168,2.725789184
80393,66.719173
70176,38.12643134
53968,5.310766028
16229,4.263373388
58601,40.79130513
37887,6.408534034
79869,37.0798707
91733,3.268694031
74045,5.507785418
26027,6.100616443
35291,6.385427805
71814,2.228893055
22765,1.469005927
89675,55.96544733
18558,2.203320816
63576,5.950476378
93940,52.06529325
30838,6.068305831
43467,45.2814705
97122,2.891591641
13861,5.343894386
36961,5.94105304
29499,3.89351359
74257,1.993073836
97778,6.007620931
24954,47.22805121
85713,54.6749178