ID,goal_noise,pass_noise,action_noise
91484,4.196961213,1.089251763,5.148639694
98763,2.991642792,3.02072401,3.919454356
33708,2.425878069,9155.574449,2.07537564
51325,6.211448976,0.760030617,6.375324961
42292,1.007234599,1.647667423,4.806565794
43580,2.021360477,18488.74955,4.401997457
14189,8.439630313,6.018257665,3.268890779
19737,2.057585298,1.008067209,4.727613465
56864,2.033151603,1.102704515,5.26703463
66473,0.955091732,0.801378869,0.048132748
67590,2.190703566,0.706484662,5.18295855
97388,4.571498764,0.774936402,3.250367038
26365,0.631350103,122.793462,7.474054322
62686,3.918141275,0.590257531,8.670074379
31601,2.046684537,1.942805954,3.40135153
67505,0.932197989,0.847360735,4.568086999
39232,1.991801989,0.270334137,-0.062569023
36524,1.912641094,2.35856433,0.151282287
78276,0.956901284,35.00198161,5.092102702
99977,1.393596664,1.292247238,2.903191495
50905,267.8707694,253.5067781,2.566600003
75842,5.490696252,0.900702362,3.419778184
49589,5.567782923,0.876273028,4.346299167
53463,2.323719883,9.718208574,3.555541699
27371,0.905040224,298.7771587,3.834648543
20272,0.65101155,0.709048705,0.229350443
19487,1.524568578,0.813270732,3.994013238
20340,1.795233386,1.042507339,5.55227907
68825,0.605403667,0.673285694,0.611463949
13662,2.134492638,15.00592043,3.126191837
29690,1.407982466,2.350120206,9.376071995
92567,2.184726198,1.02292351,2.68355905
96815,0.543867204,9.994337047,4.343524738
85609,3.485048844,0.887765791,4.175598526
26316,0.65764785,0.78722804,0.08532432
40168,2.59028445,1.07780054,2.62419046
51310,3.9190996,0.54440841,5.55662713
50933,177.533398,1722.80709,1.01991749
37196,0.73940376,2.27047106,6.00680243
79463,0.69352549,0.54193842,0.20268389
27392,0.82851218,0.78279301,0.87674441
80393,3.84772538,0.82566184,4.78156041
94317,0.98932353,1.50565712,1.41472844
70176,1.55155622,0.37545872,0.42363446
53968,5.68671043,0.95006954,3.92562138